Name,Created,Runtime,End Time,Hostname,ID,Notes,State,Tags,adv_epochs,adv_lr,adversarial_train,batch_size,dataset_name,dis_d_model,dis_dropout,dis_epochs,dis_feed_forward,dis_lambda,dis_minibatch,dis_num_encoder_layers,dis_num_heads,dis_pretrain,dis_wgan,gen_d_model,gen_dim_feedforward,gen_dropout,gen_epochs,gen_max_lr,gen_num_encoder_layers,gen_num_heads,gen_pretrain,gen_train_size,generated_num,max_len,properties,roll_num,save_name,seed,update_rate,adv/R_mean,adv/R_std,adv/advantage_mean,adv/baseline,adv/dis_acc,adv/dis_acc_fake,adv/dis_acc_real,adv/dis_loss,adv/entropy,adv/grad_norm,adv/logp_mean,adv/logp_std,adv/lr,adv/pg_loss_mean,adv/pg_loss_sum,adv/raw_mean_reward,epoch,global_step,pre_dis/train_acc,pre_dis/train_loss,pre_dis/val_acc,pre_dis/val_loss,pre_gen/train_loss,pre_gen/val_loss,prop/diversity,prop/novelty,prop/objective,prop/uniqueness,prop/validity,prop/vol_nhoc_max,prop/vol_nhoc_mean,prop/vol_nhoc_min,prop/vol_nhoc_std,rl_dis/train_acc,rl_dis/train_loss,rl_dis/val_acc,rl_dis/val_loss,trainer/global_step
TenGAN_0.1_vol_nhoc_roll8,2025-08-09T04:23:00.000Z,98292,2025-08-10T07:41:12.000Z,node-d00b-019.myriad.ucl.ac.uk,0yy5hbas,-,finished,"sge_job=212338, task=20",80,7.72271426215273E-05,true,64,combinedSet_10k,90,0.297476516601939,15,160,0.1,false,4,5,true,false,160,1024,0.0683326527482655,60,0.000452204017709471,4,4,true,10000,10000,60,vol_nhoc,8,66,27,0.78679408526896,0.181144312024117,0.139848694205284,0.181144312024117,0.462680621517437,0.65625,0.8125,0.46875,0.629514634609222,0.466480195522308,151.570907592773,-0.508791983127594,0.838491261005402,5.62985869710934E-05,0.0797761529684067,168.487228393555,0.643824815750122,0,80,0.515040338039398,0.694608271121979,0.524262130260468,0.694226920604706,0.562030851840973,0.574269235134125,0.874224072874623,0.955811310031259,0.808323250344244,0.742718446601942,0.94911858974359,0.957710228157966,0.696983952672215,0.0418599487206349,0.160546340127363,0.519432842731476,0.69247567653656,0.521760880947113,0.692165970802307,22559
TenGAN_0.1_vol_nhoc_roll8,2025-08-12T00:23:49.000Z,126835,2025-08-13T11:37:44.000Z,node-d00a-054.myriad.ucl.ac.uk,ctkcppkj,-,finished,"sge_job=222039, task=25",80,9.08548185396333E-05,true,96,combinedSet_10k,90,0.247598432371954,15,160,0.1,false,4,5,true,false,128,1024,0.0821269110860192,60,0.000558398495250201,4,4,true,10000,10000,60,vol_nhoc,8,66,27,0.793475496997217,0.224199190735817,0.153294935822487,0.224199190735817,0.456402501116338,0.723958313465118,0.864583313465118,0.375,0.622531831264496,0.432647496461868,285.516693115234,-0.433901101350784,0.739678680896759,6.62331627153927E-05,0.0896638259291649,301.270446777344,0.680601716041565,0,80,0.509591341018677,0.695110023021698,0.522761404514313,0.694723963737488,0.558050632476807,0.589729905128479,0.870687539973938,0.951993490642799,0.806792534265038,0.660397635679742,0.931991185897436,0.957457913280736,0.744790179552607,0.00919370536728809,0.155015283149757,0.51459550857544,0.693188607692719,0.500250101089478,0.692078530788422,15039
TenGAN_0.3_vol_nhoc_roll8,2025-08-10T15:23:06.000Z,111078,2025-08-11T22:14:24.000Z,node-d00a-083.myriad.ucl.ac.uk,55bmva03,-,finished,"sge_job=221061, task=15",80,8.03401334264158E-05,true,64,combinedSet_10k,90,0.246787595743235,15,96,0.3,false,4,5,true,false,128,1024,0.0895249316136483,60,0.000416689385677675,4,4,true,10000,10000,60,vol_nhoc,8,66,27,0.790407511666251,0.132753059267998,0.138610333204269,0.132753044366837,0.459935764743075,0.640625,0.75,0.359375,0.659485042095184,0.404939889907837,119.204299926758,-0.399759232997894,0.689695417881012,5.85679572678571E-05,0.0484970137476921,124.152359008789,0.592688858509064,0,80,0.526438713073731,0.691365420818329,0.540270149707794,0.689008831977844,0.565734148025513,0.573116838932037,0.868268026003861,0.943277883828743,0.80051276632,0.791752132138616,0.927784455128205,0.957710228157966,0.669874680252216,0.0542764087936954,0.182484009523451,0.530553221702576,0.690557539463043,0.53626811504364,0.688489615917206,22559
TenGAN_0.1_vol_nhoc_roll8,2025-08-10T15:08:49.000Z,125000,2025-08-12T01:52:09.000Z,node-d00a-017.myriad.ucl.ac.uk,t8oavg7r,-,finished,"sge_job=221061, task=2",80,9.21479333566607E-05,true,64,combinedSet_10k,90,0.291569376570316,15,128,0.1,false,4,5,true,false,160,1024,0.061210872514564,60,0.000224462303425891,4,4,true,10000,10000,60,vol_nhoc,8,66,27,0.861525420354953,0.167819604277611,0.200025305151939,0.16781958937645,0.461115213044724,0.3984375,0.3125,0.65625,0.731498539447784,0.409545987844467,215.837814331055,-0.416182935237885,0.801495790481567,6.71758434170056E-05,0.0575984939932823,117.961715698242,0.628934800624847,0,80,0.502418696880341,0.694136142730713,0.508254110813141,0.692662596702576,0.564990162849426,0.571915090084076,0.851693893330282,0.96258885147774,0.797083492838164,0.594991652754591,0.899939903846154,0.957710228157966,0.763948528056167,0.047012709143491,0.15544142625005,0.504920780658722,0.694147706031799,0.499249637126923,0.693239629268646,22559
TenGAN_0.1_vol_nhoc_roll8,2025-08-11T17:26:30.000Z,109349,2025-08-12T23:48:59.000Z,node-d00a-107.myriad.ucl.ac.uk,wil4mx1w,-,finished,"sge_job=222039, task=23",80,6.1926562566341E-05,true,64,combinedSet_10k,110,0.249639812607462,15,288,0.1,false,4,5,true,false,160,1024,0.0549217540972104,60,0.000774248429282043,4,4,true,10000,10000,60,vol_nhoc,8,66,27,0.811202214713033,0.0169895850121975,0.259280622005463,0.0169895887374878,0.394405223622089,0.6640625,0.78125,0.5625,0.635269343852997,0.570615231990814,8080.98291015625,-1.83183741569519,2.63779783248901,4.51444641108626E-05,-0.310607939958572,-636.125061035156,0.411394834518433,0,80,0.51403945684433,0.692409098148346,0.522261142730713,0.692046761512756,0.565214693546295,0.58007287979126,0.880515957727017,0.953746085280655,0.793828804516297,0.863262971820734,0.963337674045878,0.946135311890547,0.594398645717109,0.00919370536728809,0.194221203328368,0.514873504638672,0.693502306938171,0.522261142730713,0.692659318447113,22559
TenGAN_0.1_vol_nhoc_roll8,2025-08-11T05:59:21.000Z,118602,2025-08-12T14:56:03.000Z,node-d00a-114.myriad.ucl.ac.uk,bdlqntmw,-,finished,"sge_job=222039, task=9",80,6.15786162744613E-05,true,64,combinedSet_10k,90,0.345178674677047,15,192,0.1,false,4,5,true,false,160,1024,0.0635946846513626,60,0.000380127819631047,4,4,true,10000,10000,60,vol_nhoc,8,66,27,0.806550401432649,0.199027061462402,0.146886274218559,0.19902703166008,0.412802876821748,0.4921875,0.4375,0.53125,0.70918595790863,0.472657352685928,260.474029541016,-0.462604075670242,0.706187903881073,4.48908112640823E-05,0.0859923586249352,192.62287902832,0.611829996109009,0,80,0.555351674556732,0.683891892433167,0.541770875453949,0.689415812492371,0.562195599079132,0.575544059276581,0.863022932529432,0.939567007570726,0.792073407103423,0.802579682336638,0.939603365384615,0.951961325154312,0.639308490112569,0.04094464897158,0.184176160788015,0.548457026481628,0.683915793895721,0.548274159431458,0.688530743122101,22559
TenGAN_0.7_vol_nhoc_roll8,2025-08-10T22:23:35.000Z,93110,2025-08-12T00:15:25.000Z,node-d00a-212.myriad.ucl.ac.uk,c2ukvkz5,-,finished,"sge_job=221061, task=33",80,5.90626639676831E-05,true,32,combinedSet_10k,70,0.288668744692643,15,160,0.7,false,4,5,true,false,128,1024,0.114700204231168,60,0.000243630988245256,4,4,true,10000,10000,60,vol_nhoc,8,66,27,0.745402849073454,0.0399989038705826,0.0614362955093384,0.0399989001452923,0.457315918690378,0.4375,0.5,0.46875,0.713949859142304,0.451308131217957,39.9633026123047,-0.478341788053513,0.76083779335022,4.3056682032441E-05,0.0184327345341444,29.492374420166,0.497314840555191,0,80,0.541784822940826,0.688040852546692,0.526763379573822,0.686226606369019,0.586129188537598,0.585531115531921,0.882694278624673,0.97974797479748,0.7915426259634,0.957036717992893,0.930188301282051,0.938442796062513,0.545370067872288,0.0380288196071948,0.177701053504904,0.530998051166534,0.689669966697693,0.522261142730713,0.687998592853546,45039
TenGAN_0.1_vol_nhoc_roll8,2025-08-11T12:53:15.000Z,122840,2025-08-12T23:00:35.000Z,node-d00a-075.myriad.ucl.ac.uk,sanbs71m,-,finished,"sge_job=222039, task=10",80,8.56809803884779E-05,true,96,combinedSet_10k,110,0.300496440601868,15,192,0.1,false,4,5,true,false,160,1024,0.0561453576078925,60,0.000718463365614658,4,4,true,10000,10000,60,vol_nhoc,8,66,27,0.764309311546219,0.202681854367256,0.124532833695412,0.202681854367256,0.474774510972079,0.458333343267441,0.364583343267441,0.583333313465118,0.706391036510468,0.420234948396683,173.263381958008,-0.438912361860275,0.768717586994171,6.24614347032004E-05,0.0818427503108978,259.27783203125,0.677456378936768,0,80,0.50525438785553,0.695176303386688,0.497748881578445,0.694707930088043,0.548160433769226,0.590813159942627,0.874314578301914,0.956298200514139,0.790210925361551,0.609654163619267,0.958633814102564,0.957597140154235,0.713234224285894,0.0536619206818676,0.156135967651099,0.512482643127441,0.694095075130463,0.493746876716614,0.693903207778931,15039
TenGAN_0.5_vol_nhoc_roll8,2025-08-11T14:20:50.000Z,98454,2025-08-12T17:41:44.000Z,node-d00a-124.myriad.ucl.ac.uk,xc0t1pm4,-,finished,"sge_job=222039, task=20",80,5.67230919178461E-05,true,64,combinedSet_10k,70,0.306985488878186,15,256,0.5,false,4,5,true,false,160,1024,0.0566125600137035,60,0.00047707784546141,4,4,true,10000,10000,60,vol_nhoc,8,66,27,0.738045058562421,0.103823430836201,0.069028303027153,0.103823430836201,0.463325666548765,0.625,0.71875,0.671875,0.667661428451538,0.483312666416168,82.383186340332,-0.480578362941742,0.753662347793579,4.13511340081098E-05,0.0430237166583538,93.6196060180664,0.567149102687836,0,80,0.526494324207306,0.691459000110626,0.51325660943985,0.692323863506317,0.562798082828522,0.578120172023773,0.879776815929873,0.960707780379912,0.78800639440894,0.80137629027213,0.960733246519082,0.929016430962408,0.608607327436787,0.0470478584558479,0.16381192750583,0.527105927467346,0.69064325094223,0.522761404514313,0.690657138824463,22559
TenGAN_0.3_vol_nhoc_roll8,2025-08-12T00:52:00.000Z,97499,2025-08-13T03:56:59.000Z,node-d00a-131.myriad.ucl.ac.uk,woys3eip,-,finished,"sge_job=222039, task=26",80,5.47652757196124E-05,true,64,combinedSet_10k,90,0.238321876959745,15,192,0.3,false,4,5,true,false,160,1024,0.0617681011080093,60,0.000254114757070379,4,4,true,10000,10000,60,vol_nhoc,8,66,27,0.747006849879906,0.17989718914032,0.0924760475754738,0.179897174239159,0.452728419933675,0.3671875,0.234375,0.453125,0.745012640953064,0.39912885427475,111.202896118164,-0.393399149179459,0.719646871089935,3.99238859995974E-05,0.0642255023121834,147.975555419922,0.632625639438629,0,80,0.540339171886444,0.68784636259079,0.551275610923767,0.685064375400543,0.56966507434845,0.574832797050476,0.87150859484829,0.960069719537316,0.78321962195629,0.654600145213152,0.965741760993689,0.949888737354996,0.667843242018647,0.047012709143491,0.153837385132147,0.537781476974487,0.687904715538025,0.548274159431458,0.685819447040558,22559
