C=C1CCC=C(C)CC[C@@H]2[C@@H]1CC2(C)C
C=C1CC[C@H]2O[C@]2(C)CC[C@@H]2[C@@H]1CC2(C)C
C=C1CC[C@H]2CC=C(C)CCC=C(C)CC[C@H]1C2(C)C
CC1=CC[C@H]2C/C=C(\C)CC/C=C(/C)CC[C@H]1C2(C)C
C=C1CC/C=C(/C)CCC2=C(C)CC[C@@H](CC1)C2(C)C
C=C1/C=C/[C@H](C(C)C)CC/C(C)=C/CC1
CC1=CCC(C(C)C)=CC1
CC1=CC=C(C(C)C)CC1
C=CC(C)=CCC=C(C)C
C=CC(=C)CCC=C(C)CCC=C(C)C
CC1CCC2(CC3=C1CCC3C)OC2(C)C
CC(C)=C=CCC(C)=C1[CH]C=C(C)CC1
CC=CC=CC=CC=C(C)CC=C(C)C
CCCCCCCCCC(C)CCC(C)C
C=CC(C)=CCC=C(C)CCC=C(C)C
C1CCCCC1
C=CCCCCCCCCCCCCCCC
CC(C)=CCC[C@H](C)[C@@]12CC=C(C)[C@H]1C2
C=C1CC[C@]2(C(C)C)C[C@H]12
CC=C(C)C=CC=C(C)CCC=C(C)C
CC1=CC[C@H]2C(C)=CC[C@@H](C(C)C)[C@@H]2C1
C=C(C)[C@H]1CC[C@]2(C)CCCC(=C)[C@H]2C1
CCCCCCCCCCCCCCCCCCC
CCCCCCCCCCCCCCCC
C=C[C@]1(C)[CH]C[C@@H](C(=C)C)C[C@H]1C(=C)C
C=C1CC[C@@H](C(C)C)[C@@H]2C=C(C)CC[C@@H]12
C=C1[C@@H]2CC[C@@H](C2)C1(C)C
C1=CCC2CC3C(=CCC4CCCC=C43)CC2=C1
CC1=CCCC(C)=CCC(C)(C)C=CC1
C=C(C)[C@@H]1CCC2=CCC[C@@H](C)[C@]2(C)C1
C=C1CC/C=C(/C)CC[C@@H]2[C@H]1CC2(C)C
CC(C)=C=CCC(C)C1=CCC(C)CC1
C=CC(C)=C[CH]CC(=C)C
C/C1=C\CC(C)(C)/C=C/CC2(C)O[C@@H]2CC1
CCCCCCCCCCCCCCCCCC
CC1=CC[C@@H]2C3C(C(C)C)CCC2(C)[C@@H]13
CC(C)=CCC[C@@]1(C)[C@H]2CC=C(C)[C@@H]1C2
C=C[C@]1(C)CCC(=C(C)C)C[C@H]1C(=C)C
CC1=CC[C@@]23C[C@@H]1C(C)(C)[C@@H]2CC[C@H]3C
CC1=CC[C@@H]2C[C@H]1C2(C)C
CC1=C[C@H]2[C@@H](CC1)C(C)=CC[C@H]2C(C)C
CC1=C2[C@H](CC1)[C@H](C)CC[C@@H]1[C@H]2C1(C)C
C=C1[C@@H]2CC[C@H]3[C@H]2C(C)(C)CCC[C@@]13C
C=C(CCC=C(C)C)[C@H]1CC=C(C)CC1
CC(C)=CCC[C@]1(C)[C@H]2CC=C(C)[C@@H]1C2
CC(C)[C@@H]1CC[C@H](C)C2=CC[C@H](C)C[C@H]21
C=C1CC[C@@]23[C@@H]([C@@H]12)[C@H](C(C)C)CC[C@H]3C
C=C(C)[C@@H]1CC[C@@]2(C)CCC=C(C)[C@@H]2C1
CC1=CCC(=C(C)C)CC1
C=CCCCCCCCCCCCCC
CCCCCC
C=CC#CC#CC#CC#CC#CC
CCCCCCCC
CC1=C2C[C@@H]3CC[C@@H](C)[C@]2(CC1)C3(C)C
CC=CC=C1C(C)=CCCC1(C)C
CC=CC1OC2CCC(C)C1C2(C)C
CC(C)=CCCC(C)=C1CC=C(C)CC1
C=C1CC[C@H]2O[C@]2(C)CC[C@H]2[C@H]1CC2(C)C
CC(C)=CC/C=C(\C)[C@@H]1CC=C(C)CC1
C=C1CC/C=C(/C)CC[C@@H]2[C@@H]1CC2(C)C
CCCCCCCCCCCCCCC(C)C
C=C1C=C[C@H]([C@H](C)CCC=C(C)C)CC1
C=C(C)[C@@H]1CC[C@]1(C)[C@@H]1CC=C(C)CC1
C1CCC2=C(C1)CCCC2
C=C1/C=C\[C@H](C(C)C)CC/C(C)=C\CC1
C=C1CC/C=C(/C)CC[C@H]2[C@@H]1CC2(C)C
C=C1[C@@H]2CC[C@H](C)[C@@]23CC[C@H](C3)C1(C)C
C=C1CC[C@@H]2C[C@H]3CC(C)(C)C[C@H]3[C@]12C
CC1=CCC[C@]2(C)CCC(=C(C)C)C[C@@H]12
C=CCCCCCCCCCCCCCCCCC
C/C1=C/[C@H]2[C@@H](CC/C(C)=C\CC1)C2(C)C
C=C(C)[C@H]1CC[C@]2(C)C/C=C(\C)CC/C=C(\C)CC[C@@H]12
CC1=CC[C@@]23C[C@@H]1C(C)(C)[C@@H]2CC[C@@H]3C
C=C1C[C@@]23CC[C@@H]4C(C)(C)CCC[C@@]4(C)[C@@H]2CC[C@@H]1C3
CC1=CC2C(=CC1)[C@H](C)CC[C@H]2C(C)C
C=C1CCC[C@]2(C)CCC(=C(C)C)CC12
CCCCC1CCCCC1
CC[C@H](C)C(C)C
C=CCC[C@@H](C)C=C(C)C
C=C(C)[C@@H]1CC[C@H](C)C2=C(C1)[C@@H](C)CC2
CCCCCCCCCCCC(C)CCCC(C)C
C=C(C)OCC=C(C)CCC=C(C)C
CC=CCCCCCCCCCCC
CC=CCCCCCCCC
C=CC=CC=CCC
C1CC2CCC1CO2
[CH2-]CCCCC#[O+]
C=C(C)C=CC1C(C)(C)CCCC12CO2
C#CC=CCCCC
CCOCC=CC(C)C
C=C1C=CCC1
CCC[C@@H](C)[C@H](C)CC
CC=CCCCC
CCCCCC[C@H](CC)OCC
C=C1CC[C@]2(C)CC1[C@]1(C)CCC[C@]21C
C=C[C@H]1CC=C[C@H]1CCCC
C=CC#CC#CC#CC#CC=CC
CC=C1C=C(C)CC1
C1=CCCC=CCCCC=CC1
CC1=CC[C@]23C[C@H]1C(C)(C)[C@@H]2CC[C@H]3C
C[C@@]12CC=C[C@]1(C)[C@H]1CC[C@@H]2C1
C=C(C)[C@@H]1CC[C@@H](C)[C@]12CC=C(C)CC2
CCCCCCCCCC[C@H](C)CCCCCC
CCC1CCCCCCCCCCCCCCC1CC
C=CCCCCCC(C)CCC
C=CC=CCCC=C
C=CCCCC[C@H]1O[C@@H]1CC=CCC=CCC
C=C(C)C=CC(C)C(=C)C
CC1=C2C[C@@H]3CC[C@H](C)[C@@]2(C=C1)C3(C)C
C=C1CC[C@@](C)(C2=CCC(C)=CC2)[C@H]1C
CCC1=CC2=C(C)C=CC2=C(C)CC1
CCC=CCCC
C1=CCCCCC=C1
CC1=CCC[C@@]2(C)CC[C@@H]3C[C@]12OC3(C)C
C=C(C)CC(C)(C)C
C1#CCCOCCC#CCCCCC1
C=C(C)C=CC12OC1(C)CC(C)(C)C1CC12
CCCCC[C@H](C)CCCC
CC1=CC2=C(C(C)C)CC[C@@H](C)[C@@H]2CC1
CCCC=CC=CCC=CCCCCCCCCC
C=C(C)[C@@H]1CC[C@]2(C)CCC=C(C)[C@@H]2C1
CC1=C[C@@H]2[C@@H](C(C)C)CC=C(C)[C@@H]2CC1
C=C(C)[C@@H]1CC[C@H](C)C23CC[C@H](C)C2(C1)O3
CCCCC=CC(C)(C)C(C)C
CCCCCCC=CCCCCCCCC
CC1=C[C@@H]2[C@@H](CC1)C(C)=CC[C@H]2C(C)C
CC[C@@H](C)CCC[C@@H](C)CCCC(C)C
CC1=CC[C@H]2[C@@H](C1)C2(C)C
CCC=CCCCCCCCCCCCCCC
CCCC1CCCCC1C
C[C@@H]1CC[C@@H]2[C@@H](C1)C2(C)C
