CC1CC(C2(C)CC2)CCC1(C)C
CCC1CC(CC)C1
CCC1CCC(CC)(CC)C1(CC)C1CC1
CCC1CCC(C)C1C1C(C)CC1(C)C
CCC12CC(C)CC1C2
CCC(CC)C1(C)CC(C)CC2(CC2)C1
CCCC1CCC2CC2(CC)C1
CC(C)CC1CCCCCC1
CC12CC3CC(C1)C2CC1CCC13
CC1C2CC3C4C2C4C(C)(C)C13
C1C2CC34CCC5C6C(C1C53)C2C64
CCC1C(C)CC2(C)CC1(CC)CCCC2C
CCC(C)(C)CC1CC1
CC12CC1CCC1CC12
CC1C2CC2C2(C)CC12C
C1CC2CC3CC2CC1CC31CC1
CCC1(C)C2C3C4CC2C1(CC)C43
CC1CC1C1(C)CC2CC3C(C2)C31
CC(C)C1CCC2C(C)CCCC12
CCCC(CCC)C1(C)CC1
CC1CC2CC1(C)C1CCC2(C)C(C)C1(C)C
CCCC1C2(C)CC3(CC3)C1(C)C2
CC1CC2(C)CC3CC1C2C3
CCC1C2CC3CC1C3C2
CCC12CC3CCC(C)(CC31)C2C
CC1CCC2(CCC2)C2C(C)C12
CC1C2CC1C1CCCC2C2CC12
CCC1CC2CC23CCC(C(C)C)C3C1
CCC1(C(C)CC2CC2)CCC1C
CCCC1CCC2CCC2C1
CCCC1C2CC3C(C2)C3C12CC2
CC1C2C3CC4C1C4(C(C)(C)C)C32
CC(C)(CC1CCCCCC1)CC1CCCC1
CC(C)C12CCCCC(CC1)C2
CC1CC23CCC(C2)C(C)C1CC3
CCC12CC(C)(C)C(C)(C)CC1C2C
CC1C2CCC3CCCCC(C2)C31
CCC12CC3CC4C(CC41)C32
CC12CCC(CC1)CC2
C1CC2CC2C2CCC3CC3C2C1
CCC12C3CC(CC4CC41C)C2C3
CCCCC1C2(CC2)CC(C)C1(C)C
CC(C)CCCC1CC1C1CC1C
CC1CCC2CC1C(C(C)(C)C)C2
CCC12CCC3C(CC(C)C)C(C1)C1C3C12
CCC(CC)CC1CCC(C)C2CCC1(C)C2
CC12CC3(C)C1CC1(C)CC2C13C
CCC1C2C3C4CC1C(C)(C4)C32
CC1(C)CCC(C)(C)C1C1CC1
CC(C)C1(C)CC2(C)CCC1(C)C2
CC1CC2CC(C1)C1CC2C1
CC12CC3C4CC1CC2C43
CC12C3CCC4CC5CC(C53)C1C42
CC(C)C1(C)CC12CCC1CC(C1)C2
CC(C)C12CCC1CCC1CC12C
CC1CC2CC(C1C)C1CC21
CC(C)C1(C(C)C)CCC1
CC1C(C)C2C(C)C1CC1C2CC1(C)C
CCCC1CC2CCC(C1)C2
CCC12CC3CC1C1CCC1C3C2
CC1CC(C)C2(C1)CC2C
CC1CC(C)C2C1C2(C)C
C1CC1CC12CCC1CC1CC12
CC(C)CC1CCC12CCC1CCCC12
CC1CCCC(C(C)C)C2(CC2)C(C)(C)C1
CCC1CCC2(C)CC(C2)C12CC2
CC1CC(C2CC2)C2CCCC1CC2
CC1CC2CC3CC4(CC4)CC2C13
CCC12CC(C1)C1(C)C3CCC(C3)C21C
CCC12CCC(C)(CC1)C1CC(C(C)C)CC12
