C1CC2(C1)CC1CC1C1CC2C1
C(CC1CC1)CC1(C2CC2)CC1
C(CC1CC1)CC12CCC(C1)C2
C(CC1CC1)CC12CCCC1C2
C(CC1CC1)CC1C2CCC1C2
C(CC1CC1)CC1C2CCCC12
C(CC1CC1)CC1CC1
C(CC1CC1)CC1CC1C1CC1
C(CC1CC1)CC1CC2CC1C2
C(CC1CC1)CC1CC2CC2C1
C(CC1CC1)CC1CCC2CC12
C(CCC1CC1)CC1CC1
C(CCC1CC1)CC1CCC1
C(CCC1CC1)CCC1CC1
C(CCC1CCC1)CC1CCC1
C(CCC1CCC1)CCC1CC1
C(CCCC1CC1)CCC1CC1
C12C3C1C1C4C5C4C3C3C2C1C53
C12C3C1C1C4C5C6C5C1C3C6C24
C12C3C4C5C1C1C6C2C2C3C3C4C4C5C1C1C6C2C3C41
C12C3C4C5C4C4C(C4C13)C25
C12C3C4C5C6C1C2C1C(C34)C1C65
C1C(CC2(C3CC3)CC2)CC2CC12
C1C(CC2C3CCC2C3)CC2CC12
C1C(CC2CC2C2CC2)CC2CC12
C1C(CC2CCC3CC23)CC2CC12
C1C2C1C1(CC1)C1(C3CC3)CC21
C1C2C1C1(CC1)C1(C3CC3)CCC21
C1C2C1C1(CC1)C1(CC1)C21CC1
C1C2C1C1(CC1)C1(CC1)CC21CC1
C1C2C1C1(CC1)C13C4CC(C4)C1C23
C1C2C1C1(CC1)C13C4CC4CC1C23
C1C2C1C1(CC1)C13CC1CCC23
C1C2C1C1(CC1)C13CC4C(C1)C4C23
C1C2C1C1(CC1)C13CCC1CCC23
C1C2C1C1(CC1)C1CC1C21CC1
C1C2C1C1(CC1)CC1(C3CC3)CC21
C1C2C1C1(CC1)CC13CC1CCC23
C1C2C1C1(CC1)CC21CC1
C1C2C1C1(CC1)CCC21CC1
C1C2C1C13CC1(C1CC3C1)C21CC1
C1C2C1C13CC1C1CC1C31CC21
C1C2C1C13CC1CC1(CC1)C31CC21
C1C2C1C13CC1CC1CC13C21CC1
C1C2C1C13CC4C(C1)C4C31CC21
C1C2C1C13CC4C(C1)C4C31CCC21
C1C2C1C13CC4C(C1)C4C3C21CC1
C1C2C1C13CC4C(C1)C4CC31CC21
C1C2C1C13CC4CC(C4C1)C31CC21
C1C2C1C13CC4CC15CC(C3)C42C5
C1C2C1C13CC4CC4C1(C3)C21CC1
C1C2C1C13CCC(C1)C1(CC1)C2C3
C1C2C1C13CCC(CC1)C31CC21
C1C2C1C13CCC(CC1)C31CCC21
C1C2C1C13CCC4C2C41C1CC1C3
C1C2C1C13CCC4C2C41C1CC3C1
C1C2C1C13CCC4CC41C2CC3
C1C2C1C13CCC4CCC41C2CC3
C1C2C1C1C3(CC3)C3C2C3C12CC2
C1C2C1C1C3(CC3)C3CC3C13CC23
C1C2C1C1C3(CC3)CC2C12CC2
C1C2C1C1C3(CC3)CCC13CC23
C1C2C1C1C3(CC3)CCC13CCC23
C1C2C1C1C3(CCC2C12CC2)CC3
C1C2C1C1C3C(CC14CC4)C23
C1C2C1C1C3C1C1C2CC3C12CC2
C1C2C1C1C3C1C1C4C5C2C5C3C41
C1C2C1C1C3C2C1C1(C2CC2)CC31
C1C2C1C1C3C2C1C1(CC1)C31CC1
C1C2C1C1C3C2C1C12CC1CCC32
C1C2C1C1C3C2C2C4C1C1C3C1C24
C1C2C1C1C3C2C2C4C3C3C1C3C24
C1C2C1C1C3C2C2C4CC4C3C21
C1C2C1C1C3C2C2CC1C1(CC1)C23
C1C2C1C1C3C2C2CC2(C2CC2)C13
C1C2C1C1C3C2C2CC2C2(CC2)C13
C1C2C1C1C3C2C2CC3C3(CC3)C21
C1C2C1C1C3C2C2CCC4CC42C13
C1C2C1C1C3C2C3C2(CC2)C12CC2
C1C2C1C1C3C2C3C2CC21C1CC1
C1C2C1C1C3C2C3C2CC2C12CC2
C1C2C1C1C3C2C3C2CCC3CC321
C1C2C1C1C3C2CC2(CC2)C13
C1C2C1C1C3C2CC2C4CC2C3C41
C1C2C1C1C3C2CC2C4CC4C3C21
C1C2C1C1C3C4C(CC5(CC5)C13)C24
C1C2C1C1C3C4C2C1C1(CC1)C43
C1C2C1C1C3C4C2C2C1C1C3C1C42
C1C2C1C1C3C4C2C2C1C2C43
C1C2C1C1C3C4C2C4C2(CC2)C13
C1C2C1C1C3C4C2CC1C1(CC1)C43
C1C2C1C1C3C4C5C2C5C2C1C2C34
C1C2C1C1C3C4CC(C23)C2(CC2)C41
C1C2C1C1C3C4CC(C23)C2C4C12
C1C2C1C1C3C4CC(C24)C13
C1C2C1C1C3C4CC(C24)C2(CC2)C13
C1C2C1C1C3C4CC(C2C43)C12CC2
C1C2C1C1C3C4CC(C5C2C45)C13
C1C2C1C1C3C4CC(CC43)C13CC23
C1C2C1C1C3C4CC1(C1CC1)C2C43
C1C2C1C1C3C4CC15C2CCC5C43
C1C2C1C1C3C4CC2C(C43)C12CC2
C1C2C1C1C3C4CC2C1C1(CC1)C43
C1C2C1C1C3C4CC2C1C1C(C4)C31
C1C2C1C1C3C4CC2C2C(C3C4)C12
