CCC1C(C)C(C)CC1(C)C
CC(C)CC1(C)C2CC(C)C(C)C21
CCC1CCCC(C)(CC)C1
CC12CC3CCC4(CC1CC34)C2
CC12CC(CC3CC34CCCC14)C2
CC12CC(C1)C1C(C3CC3)CC12
CC1(C)C2C3C4CC(C32)C2(C)C4C12
CCC12CC1(C)C(C)CC21CCC1
CCC1(C2(CC3CC3)CC2C)CC1
CCC1C2C3CC4C3C(CC)C2C41
CCC1(C(C)C)C2CCC1C2
CC1CC23CC2(C1)C1CC3C2CC21
CCC1CCC2CCC2C1
CC1C2C3CCC4C2C(C)C1(C)C34
CC1C2CC3CC3C3CCC1C3C2
CC1(C)CC2CC3CCC(C1)C3C2
CC1C2CCC3(C)CC3C1(C)CC2
CC1(C)C2C3C4CC1(C)C1C4C1C32
CC1CC2CC3C2CC1C31CC1C
CC1CCCC2CC1C1C(C)C1C2
CC1CC2CC3C4C1CC2C34
CC1C2CCC3CC4(C)C1C4(C)C32
CC(C)CC12C3CC(C)(C3)C1C2C
CC(C)CCCCC1CCCC1
CC1CC2(C)CC(C3CC3)CCC12
CC1C2CCC3CC(C32)C12CCC2
CCC12CC1C1CC3CC1(C)C3C2
CCC(CC)C(C)CC1(C)CCC1
CCC1CC2C(C)C2C1(C)C
CCC1CC2C3CC1(C)CC23CC
CC1CCC(C2CC2)C1C1(C)CC1
CC(C)C1(C)CC1CC1CC1
CC12CCC3CC3C1C1CC2C1
CC1CCCC2C(C)CC2(C)C1C
CCC1CC(C)(C)CC1(C)CC
C1CC2C3C1C1C4CC1C2C3C4
CCC1C2(C)CCC(C)C(C)C12C
C1CCC23CCCC2(CC1)C3
CCC1C2C3CC4(CC3CC24)C1C
CCC1CC2CCC2C12CC2
CC1C2CC3(CC3)C3CCC3C12
CCCC12CC3(C)C4CC(CC41)C32
CC1CC2C1C1CC3C(C1C)C23C
CCC(C)C1CC2CC1C(C)(C)C2
CC1CC2CCCC3(C)C(C2)C13
CC1CC(C2C3CC2(C)C2CC32)C1
C1C2CC3C2C2C4C5CC(C15)C3C42
C1CC2CC2C2C3CCCC2C3C1
CCCC1(C)C2C3CC3C1(C)C2C
CC1C(C)C2CC1C1CC21C1CC1
CCC1(C2(C)CC2)CC1C(C)C
CC1CC2CC3CC(C13)C1C(C)C21
CC1CC2C3C(C)C4(CC4)CC23C1
CC1C2C3CCC1C(C)(C)CC2C3
CC1C2C1C1CC3CC3C1(C)C2C
CCC1(C)CC2CCC(C2)CC2CC1CC2C
CC12CC3CC4CCC1CC4C2C3
CC1(C)CC2C3CCC4CC3C2C41
CC12CCCC3C1CC1CC2(C)C13
