C/C=C/C(=O)OC 
CCCC(C)(C)O 
CCCC(C)O 
CCCCCCC(=O)CC 
CCCCCCC(C)O 
CCCCCCCC(=O)CC 
CCCCC 
CCCCC(CC)CO 
CCCCCC(=O)OC 
CCCCCC(C)O 
CC(C)C(=O)C(C)C 
CC1=CC=C(O1)C 
CCC(C)O 
CCCC(=O)C 
CCCC(CC)O 
CCCC(=O)CC 
CCCC(C)CC 
CCCC(CCC)O 
CCCC(=O)CCC 
CCCCC(=O)CCCC 
C1=CC=CC=C1 
CCCCC1CCCCC1 
C1CCCCC1 
C1CCC(CC1)O 
C1CCC(=O)C1 
CCOCC 
CCCCCCCCCCCC 
CCOC(C)(C)C 
C(CO)O 
CCCCC(C)C 
CCC(=O)C 
CC(=O)OC 
CC1CCCCC1 
CC(C)CC(=O)C 
CCCCCCCCC 
CCCO 
CCCCCCCCCCC 
CCCCCCCC 
CCCC1CCCCC1 
CC1=CC=CC=C1 
CCC(CC)CO 
CCC(C)(C)O 
CCCC(C)CO 
CC(C)CO 
CC(C)(C)O 
CC(CC(C)(C)C)CO 
CC(C)CCO 
CC(C)C(C)O 
CCC(C)CCO 
CC(C)(C)CCO 
CCC1=CC=CC=C1C 
CCC1=CC=CC(=C1)C 
CCCCCCO 
CCCCCO 
CCC1=CC=C(C=C1)C 
CCC1=CC=CC=C1CC 
C1=CC=C(C=C1)C2=CC=CC=C2C3=CC 
C1=CC=C(C=C1)CCC2=CC=CC=C2 
CC1=C(C(=CC=C1)C)C 
CC1=C(C(=C(C=C1)C)C)C 
CC1=CC(=C(C(=C1)C)C)C 
CC1=CC(=C(C=C1)C)C 
CC1=CC(=C(C=C1C)C)C 
CC(C)C1=CC(=CC=C1)C(C)C 
CCC1=CC(=CC=C1)CC 
C1=CC=C(C=C1)C2=CC(=CC=C2)C3=C
CC1=CC(=CC=C1)C 
CCC1=CC=C(C=C1)CC 
CC1=CC=C(C=C1)C 
CC(C)(C1=CC=CC=C1)C2=CC=CC=C2 
CC1=CC=C(C=C1)C(C)C 
C1=CC=C(C=C1)C2=CC=CC=C2 
C1CCC(CC1)C2=CC=CC=C2 
C1=CC=C(C=C1)CC2=CC=CC=C2 
C=CC1=CC=CC=C1 
CCC1=CC=CC=C1 
C1CC2=CC=CC=C2C1 
CC(C)CC1=CC=CC=C1 
CC(C)CCC1=CC=CC=C1 
CC(C)C1=CC=CC=C1 
CCCCCCCCCCC1=CC=CC=C1 
